epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.958,1.3651,2.76367,1.5341,0.38438,0.35632,0.31685,0.13051,1.7306,4.03445,2.09237,0.000474894,0.000474894,0.000474894
2,323.736,1.61615,2.45691,1.71602,0.45811,0.37674,0.35769,0.1758,1.78344,2.64289,2.01275,0.000913559,0.000913559,0.000913559
3,491.362,1.67241,2.43094,1.77812,0.32021,0.31472,0.29611,0.11712,1.92779,2.88224,2.12735,0.0013145,0.0013145,0.0013145
4,668.102,1.64435,2.41157,1.78398,0.45484,0.37037,0.3704,0.19805,1.80817,2.51423,1.91548,0.00125923,0.00125923,0.00125923
5,841.562,1.59803,2.31747,1.71371,0.78489,0.43793,0.49232,0.25218,1.58007,2.27472,1.77439,0.00120265,0.00120265,0.00120265
6,1015.13,1.515,2.19962,1.68993,0.50206,0.48356,0.45887,0.25251,1.59702,2.16931,1.83567,0.00114606,0.00114606,0.00114606
7,1171.54,1.46184,2.12255,1.647,0.60935,0.45392,0.44357,0.22936,1.51531,2.17755,1.77519,0.00108947,0.00108947,0.00108947
8,1401,1.4095,2.06697,1.61402,0.56807,0.55056,0.54366,0.31908,1.39889,2.0867,1.6628,0.00103288,0.00103288,0.00103288
9,1608.7,1.35578,1.99196,1.57794,0.64073,0.51153,0.55826,0.32834,1.3933,1.91187,1.62977,0.000976293,0.000976293,0.000976293
10,1789.34,1.3504,1.92982,1.57289,0.60312,0.60669,0.60801,0.37285,1.36181,1.72531,1.6605,0.000919704,0.000919704,0.000919704
11,1992.91,1.27084,1.79567,1.51013,0.65407,0.60567,0.59795,0.36726,1.33087,1.80918,1.65353,0.000863116,0.000863116,0.000863116
12,2181.41,1.25697,1.82829,1.5148,0.65379,0.64292,0.62892,0.38488,1.28418,1.66269,1.6051,0.000806528,0.000806528,0.000806528
13,2366.24,1.2094,1.71469,1.47304,0.68974,0.62444,0.64348,0.3916,1.24422,1.58799,1.55443,0.000749939,0.000749939,0.000749939
14,2609.63,1.17702,1.61923,1.44588,0.67366,0.63984,0.64373,0.39654,1.26079,1.57165,1.57192,0.000693351,0.000693351,0.000693351
15,2812.28,1.18263,1.67268,1.45587,0.70227,0.62243,0.64618,0.40025,1.30774,1.60324,1.57657,0.000636762,0.000636762,0.000636762
16,3051.23,1.14628,1.56151,1.46388,0.68,0.64846,0.64908,0.40926,1.2536,1.54018,1.56032,0.000580174,0.000580174,0.000580174
17,3234.26,1.13066,1.4899,1.43918,0.69588,0.64817,0.66228,0.42811,1.21186,1.50041,1.52591,0.000523586,0.000523586,0.000523586
18,3426.15,1.11675,1.41144,1.43427,0.6865,0.66643,0.67062,0.41385,1.23152,1.47624,1.55271,0.000466997,0.000466997,0.000466997
19,3605.65,1.09826,1.39478,1.43345,0.74525,0.66574,0.70606,0.45861,1.15993,1.3687,1.46414,0.000410409,0.000410409,0.000410409
20,3789.46,1.05392,1.30568,1.38244,0.72489,0.69577,0.69542,0.45456,1.14144,1.34228,1.4659,0.00035382,0.00035382,0.00035382
21,3986.06,1.03281,1.2591,1.36434,0.7411,0.6812,0.70312,0.46818,1.11751,1.33184,1.41502,0.000297232,0.000297232,0.000297232
22,4180.91,1.02505,1.22922,1.36143,0.75486,0.71225,0.73242,0.48793,1.10747,1.2368,1.41261,0.000240644,0.000240644,0.000240644
23,4373.77,0.97828,1.18945,1.32363,0.77168,0.6985,0.7411,0.50538,1.0713,1.23826,1.39392,0.000184055,0.000184055,0.000184055
24,4566.09,0.97743,1.16204,1.33811,0.74334,0.72568,0.75071,0.51451,1.05476,1.22325,1.38064,0.000127467,0.000127467,0.000127467
25,4763.9,0.94768,1.14357,1.31602,0.75839,0.72182,0.74956,0.52158,1.046,1.19696,1.3873,7.08784e-05,7.08784e-05,7.08784e-05
